id,station_name,Average exit trip duration,station_latitude_x,station_longitude_x,bikes_leaving,bikes_entering,Average enter trip duration
193,Hyde Park Library,1725.5,42.2568376,-71.122509,2,4,4625.5
194,Hyde Square - Barbara St at Centre St,904.3677419,42.32176526,-71.10984161,310,252,1079.313492
195,ID Building East,831.9444444,42.344827,-71.028664,162,172,758.8430233
196,ID Building West,776.6842105,42.344796,-71.031614,247,225,870.1022222
197,Ink Block - Harrison Ave at Herald St,2550.959276,42.345901,-71.063187,442,469,563.9850746
199,Innovation Lab - 125 Western Ave at Batten Way,1530.1775,42.36371276,-71.12459779,400,393,1085.994911
201,JFK/UMass T Stop,822.0,42.32033974,-71.05118036,102,99,7899.20202
202,Jackson Square T Stop,889.2761905,42.32293117,-71.10014141,315,298,2692.352349
203,Jamaica St at South St,1420.852459,42.30604563,-71.11570891,61,58,1162.931034
208,Kenmore Square,1779.836224,42.348706,-71.097009,519,602,1193.099668
212,Landmark Center - Brookline Ave at Park Dr,1184.658737,42.34369056,-71.10235287,1219,1228,1543.078176
214,Lansdowne T Stop,1066.709091,42.34734473,-71.10016808,605,641,1199.634945
216,Lewis Wharf at Atlantic Ave,1408.454806,42.363871,-71.050877,697,662,868.4003021
219,Longwood Ave at Binney St,1003.044653,42.338629,-71.1065,851,812,1215.320197
227,MLK Blvd at Washington St,1057.135417,42.32143814,-71.09126061,96,82,1211.158537
229,Main St at Austin St,865.7228464,42.375603,-71.064608,267,295,1721.935593
230,Main St at Baldwin St,719.6315789,42.380857,-71.070629,190,186,812.5591398
232,Main St at Thompson Sq,804.472973,42.37487847,-71.06383499,222,278,932.1942446
237,Martha Eliot Health Center,883.7373737,42.324173,-71.10196,99,75,4075.453333
238,Mass Ave T Station,2543.894652,42.34135616,-71.08336953,617,647,1537.400309
241,Mattapan Library,4882.5,42.2773889,-71.09325,2,5,4645.6
242,Mattapan T Stop,2188.333333,42.267902,-71.093641,6,10,2787.6
243,Maverick Square - Lewis Mall,956.9263158,42.36884408,-71.03977829,95,119,821.1932773
244,Maverick St at Massport Path,1493.609756,42.36774122,-71.03335975,41,31,1091.387097
247,Medford St at Charlestown BCYF,3392.08046,42.38042947,-71.06055722,174,185,1024.859459
248,Morton St at Gallivan Blvd,2259.0,42.278747,-71.080286,4,5,2923.0
249,Mt Auburn,1039.117871,42.37478629,-71.13320231,263,254,1305.669291
250,Mugar Way at Beacon St,1609.69016,42.35553628,-71.0728687,752,785,1405.568153
251,Murphy Skating Rink - 1880 Day Blvd,2611.657143,42.336448,-71.023739,105,106,2673.556604
252,Museum of Science,1207.071429,42.36769018,-71.07116282,196,155,1844.354839
253,NCAAA - Walnut Ave at Crawford St,1885.961538,42.316902,-71.091946,26,15,2541.533333
254,Nashua Street at Red Auerbach Way,1600.538153,42.365673,-71.064263,996,959,1170.327424
255,New Balance - 20 Guest St,6085.034722,42.35732922,-71.1467354,144,143,1793.020979
256,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,3591.589928,42.326599,-71.066498,139,168,5379.684524
263,Oak Square - 615 Washington St,1091.384,42.35057,-71.166491,125,126,3418.277778
265,One Beacon St,976.4619048,42.35847764,-71.0613513,210,135,757.6222222
