Time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long
2021-08-06 18:11:56+00,bike,Intersection,,MELNEA CASS BLVD,SOJOURNER TRUTH CT,768461.22,2947285.44,42.33475158,-71.08467928
2021-08-07 09:01:00+00,bike,Intersection,,CHESTERTON ST,MASSACHUSETTS AVE,772439.04,2945768.89,42.33053602,-71.06999586
2021-08-08 14:54:17+00,bike,Street,GRANITE AVE,HILL TOP ST,DEAD END,776760.12,2926698.86,42.27826917,-71.05390119
2021-08-11 09:03:00+00,bike,Street,BLUE HILL AVE,BABSON ST,FAIRWAY ST,766044.97,2923504.04,42.26952014,-71.09382498
2021-08-11 19:00:27+00,bike,Street,CHARLES ST,DAVID G MUGAR WAY,SILVER PL,772230.09,2956748.11,42.36061875,-71.07085415
2021-08-11 21:41:47+00,bike,Street,DORCHESTER AVE,BELLFLOWER ST,DORSET ST,775956.65,2943319.76,42.32376811,-71.05683135
2021-08-13 15:38:56+00,bike,Street,FOREST ST,VINE ST,ADAMS ST,770361.24,2944389.23,42.3267681,-71.07771877
2021-08-15 18:43:52+00,bike,Intersection,,BRAINERD RD,HARVARD AVE,756178.25,2952500.11,42.34921597,-71.13002351
2021-08-16 22:29:24+00,bike,Intersection,,GRANITE AVE,GALLIVAN BLVD,776391.68,2928323.61,42.28260973,-71.05571433
2021-08-18 13:47:54+00,bike,Intersection,,BEACON ST,CHARLES ST,772545.17,2955133.41,42.35623106,-71.06942855
2021-08-18 17:14:58+00,bike,Intersection,,COLUMBUS AVE,DAVENPORT ST,768459.38,2948579.39,42.33830225,-71.08466278
2021-08-19 06:54:16+00,bike,Intersection,,DORCHESTER ST,OLD COLONY AVE,777019.66,2946180.44,42.33160071,-71.05304792
2021-08-19 13:35:11+00,bike,Street,JULIAN ST,JUDSON ST,COTTAGE CT,770947.85,2941767.35,42.31941682,-71.07556105
2021-08-20 07:15:25+00,bike,Street,TREMONT ST,W BROOKLINE ST,PEMBROKE ST,770993.4,2949862.49,42.34193876,-71.07541282
2021-08-21 10:42:47+00,bike,Intersection,,CLINTON ST,JOHN F. FITZGERALD SURFACE RD,776773.82,2956824.28,42.3608112,-71.05375115
2021-08-21 14:56:30+00,bike,Street,WASHINGTON ST,EUSTIS ST,DADE ST,769173.36,2946251.97,42.33179421,-71.0818837
2021-08-21 21:42:21+00,bike,Street,HUNTINGTON AVE,CRAFTSON WAY,HEATH ST,761370.3,2945470.17,42.32979399,-71.11122813
2021-08-23 20:57:55+00,bike,Intersection,,GENERAL CASIMIR PULASKI SKWY,MASSACHUSETTS AVE,771888.4,2946525.63,42.33262014,-71.07201819
