start station name,Average trip duration,station latitude,station longitude,bikes leaving
Forest Hills,3337.508108108108,42.300923,-71.114249,185
Forest River Park,1413.2,42.506395,-70.88693,5
Forsyth St at Huntington Ave,864.0796139927623,42.339202,-71.090511,1658
Foss Park,1129.9106145251396,42.39108438,-71.09039426,179
Four Corners - 157 Washington St,1523.55,42.30412793,-71.07929528,20
Franklin Park - Seaver St at Humboldt Ave,1187.925,42.309796,-71.092225,40
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,1366.9333333333334,42.303469,-71.085347,15
Fresh Pond Reservation,32075.863636363636,42.38267828,-71.14347895,66
Galileo Galilei Way at Fulkerson St/Binney St,911.7894736842105,42.3664204,-71.0885418,323
Galileo Galilei Way at Main Street,573.1771771771772,42.36300378,-71.08974038,666
Gallivan Blvd at Adams St,1470.2727272727273,42.28297568,-71.05466698,11
Geiger Gibson Community Health Center,10012.222222222223,42.31886468,-71.04536798,90
Gilman Square T at Medford St,964.2674418604652,42.3867355,-71.0946444,86
Glendale Square (Ferry St at Broadway),4021.8387096774195,42.41427294,-71.04479656,31
Goodhue St at Grove St,323.0,42.520897,-70.910528,1
Gore Street at Lambert Street,692.2865779927448,42.3730798,-71.08634234,827
Gove St at Orleans St,448.35714285714283,42.37057753,-71.0355854,42
Government Center - Cambridge St at Court St,1126.192700729927,42.3598254,-71.05979576,685
Graham and Parks School – Linnaean St at Walker St,917.2767857142857,42.3829443,-71.12449831,336
Gramsdorf Playground,1152.551724137931,42.408156000000005,-71.0429,29
Green Street T Stop - Green St at Amory St,1082.3731343283582,42.31057899999999,-71.107341,201
Grove Hall Library - 41 Geneva Ave,4402.2,42.30791,-71.080952,15
Grove St at Community Path,728.798353909465,42.39638681,-71.12011306,486
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,888.3189771197847,42.33741748,-71.10286117,743
Harrison Ave at Bennet St,728.6666666666666,42.3494261,-71.0620996,468
Harrison Ave at E. Dedham St,801.0268817204301,42.339194,-71.06975,372
Harrison Ave at Mullins Way,764.9756097560976,42.34521562,-71.06384031,738
Harvard Ave at Brainerd Rd,906.953744493392,42.34953017,-71.13022771,454
Harvard Kennedy School at Bennett St / Eliot St,842.2641791044776,42.3722168,-71.12188071,670
Harvard Law School at Mass Ave / Jarvis St,816.3313253012049,42.379011,-71.119945,830
Harvard Square at Brattle St / Eliot St,1107.5315203955502,42.3733288,-71.12098601,809
Harvard Square at Mass Ave/ Dunster,1026.5814910025706,42.373268,-71.118579,1945
Harvard St and Stedman St,735.3562005277045,42.34435176,-71.12490356,379
Harvard St at Greene-Rose Heritage Park,732.2330578512397,42.36599433,-71.09522222,605
Harvard Stadium: N. Harvard St at Soldiers Field Rd,1188.1139455782313,42.368019,-71.1242,588
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,1590.6169950738915,42.377945,-71.116865,812
Harvard University Gund Hall at Quincy St / Kirkland St,2405.293394777266,42.376369,-71.114025,651
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,707.7446102819238,42.366621,-71.114214,603
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,998.5009345794392,42.380287,-71.125107,535
Harvard University River Houses at DeWolfe St / Cowperthwaite St,778.9941037735849,42.36923907,-71.11687034,848
