end station name,Average trip duration,station latitude,station longitude,bikes entering
East Somerville Library (Broadway and Illinois),766.1630434782609,42.38762811,-71.08318716,92
Edgerly Education Center,1103.9214285714286,42.38717463,-71.08714389,140
Edwards Playground - Main St at Eden St,3870.9495798319326,42.378965,-71.068607,119
Egleston Square - Atherton St at Washington St,1128.1891891891892,42.315692,-71.098634,37
Encore,1262.857142857143,42.39329263,-71.0724476,56
Essex St at Dalton Parkway,19454.0,42.516223,-70.905535,16
Everett Square (Broadway at Chelsea St),39122.793103448275,42.40743489,-71.05533242,29
Fan Pier,1037.6787148594378,42.35339051,-71.0445714,249
Faneuil St at Arlington St,1528.6222222222223,42.35276621,-71.15988486,45
Farragut Rd at E. 6th St,1437.107438016529,42.3334,-71.02495,121
Flat 9 at Whittier,955.578947368421,42.33420351,-71.08767617,38
Foley St at Grand Union Blvd,1002.8794326241135,42.3930184,-71.08071685,141
Forest Hills,4612.306010928962,42.300923,-71.114249,183
Forest River Park,1593.5,42.506395,-70.88693,4
Forsyth St at Huntington Ave,1081.8484848484848,42.339202,-71.090511,1683
Foss Park,1104.3875,42.39108438,-71.09039426,160
Four Corners - 157 Washington St,1466.1538461538462,42.30412793,-71.07929528,13
Franklin Park - Seaver St at Humboldt Ave,1519.05,42.309796,-71.092225,20
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,2354.0,42.303469,-71.085347,12
Fresh Pond Reservation,30436.82857142857,42.38267828,-71.14347895,70
Galileo Galilei Way at Fulkerson St/Binney St,740.1675126903554,42.3664204,-71.0885418,394
Galileo Galilei Way at Main Street,631.0674448767834,42.36300378,-71.08974038,771
Gallivan Blvd at Adams St,956.6969696969697,42.28297568,-71.05466698,33
Geiger Gibson Community Health Center,2664.5714285714284,42.31886468,-71.04536798,98
Gilman Square T at Medford St,990.7123287671233,42.3867355,-71.0946444,73
Glendale Square (Ferry St at Broadway),40072.02857142857,42.41427294,-71.04479656,35
Goodhue St at Grove St,467.5,42.520897,-70.910528,2
Gore Street at Lambert Street,886.1421628189551,42.3730798,-71.08634234,823
Gove St at Orleans St,479.1304347826087,42.37057753,-71.0355854,46
Government Center - Cambridge St at Court St,2142.5878003696857,42.3598254,-71.05979576,541
Graham and Parks School – Linnaean St at Walker St,846.3198757763976,42.3829443,-71.12449831,322
Gramsdorf Playground,1084.655172413793,42.408156000000005,-71.0429,29
Green Street T Stop - Green St at Amory St,957.6339285714286,42.310579,-71.107341,224
Grove Hall Library - 41 Geneva Ave,3527.2,42.30791,-71.080952,10
Grove St at Community Path,620.5289421157685,42.39638681,-71.12011306,501
