start_station_name,Average_trip_duration,station_latitude,station_longitude,bikes_leaving
EF - North Point Park,893.7256637,42.369885,-71.069957,678
East Boston Neighborhood Health Center - 20 Maverick Square,369.025641,42.369536,-71.039431,78
East Somerville Library (Broadway and Illinois),791.1904762,42.38762811,-71.08318716,84
Edgerly Education Center,1190.351648,42.38717463,-71.08714389,182
Edwards Playground - Main St at Eden St,1167.434211,42.378965,-71.068607,152
Egleston Square - Atherton St at Washington St,1071.738095,42.315692,-71.098634,42
Encore,1304.018519,42.39329263,-71.0724476,54
Essex St at Dalton Parkway,69565.64706,42.516223,-70.905535,17
Everett Square (Broadway at Chelsea St),3555.272727,42.40743489,-71.05533242,22
Fan Pier,2836.256522,42.35339051,-71.0445714,230
Faneuil St at Arlington St,20655.4186,42.35276621,-71.15988486,43
Farragut Rd at E. 6th St,1164.511628,42.3334,-71.02495,86
Flat 9 at Whittier,2092.74359,42.33420351,-71.08767617,39
Foley St at Grand Union Blvd,955.59375,42.3930184,-71.08071685,128
Forest Hills,3337.508108,42.300923,-71.114249,185
Forest River Park,1413.2,42.506395,-70.88693,5
Forsyth St at Huntington Ave,864.079614,42.339202,-71.090511,1658
Foss Park,1129.910615,42.39108438,-71.09039426,179
Four Corners - 157 Washington St,1523.55,42.30412793,-71.07929528,20
Franklin Park - Seaver St at Humboldt Ave,1187.925,42.309796,-71.092225,40
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,1366.933333,42.303469,-71.085347,15
Fresh Pond Reservation,32075.86364,42.38267828,-71.14347895,66
Galileo Galilei Way at Fulkerson St/Binney St,911.7894737,42.3664204,-71.0885418,323
Galileo Galilei Way at Main Street,573.1771772,42.36300378,-71.08974038,666
Gallivan Blvd at Adams St,1470.272727,42.28297568,-71.05466698,11
Geiger Gibson Community Health Center,10012.22222,42.31886468,-71.04536798,90
Gilman Square T at Medford St,964.2674419,42.3867355,-71.0946444,86
Glendale Square (Ferry St at Broadway),4021.83871,42.41427294,-71.04479656,31
Goodhue St at Grove St,323,42.520897,-70.910528,1
Gore Street at Lambert Street,692.286578,42.3730798,-71.08634234,827
Gove St at Orleans St,448.3571429,42.37057753,-71.0355854,42
Government Center - Cambridge St at Court St,1126.192701,42.3598254,-71.05979576,685
Graham and Parks School – Linnaean St at Walker St,917.2767857,42.3829443,-71.12449831,336
Gramsdorf Playground,1152.551724,42.408156,-71.0429,29
Green Street T Stop - Green St at Amory St,1082.373134,42.310579,-71.107341,201
Grove Hall Library - 41 Geneva Ave,4402.2,42.30791,-71.080952,15
Grove St at Community Path,728.7983539,42.39638681,-71.12011306,486
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,888.3189771,42.33741748,-71.10286117,743
Harrison Ave at Bennet St,728.6666667,42.3494261,-71.0620996,468
Harrison Ave at E. Dedham St,801.0268817,42.339194,-71.06975,372
Harrison Ave at Mullins Way,764.9756098,42.34521562,-71.06384031,738
Harvard Ave at Brainerd Rd,906.9537445,42.34953017,-71.13022771,454
Harvard Kennedy School at Bennett St / Eliot St,842.2641791,42.3722168,-71.12188071,670
Harvard Law School at Mass Ave / Jarvis St,816.3313253,42.379011,-71.119945,830
Harvard Square at Brattle St / Eliot St,1107.53152,42.3733288,-71.12098601,809
