start station id,start station name,start station latitude,start station longitude,tripduration
213,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,369.025641
214,Airport T Stop - Bremen St at Brooks St,42.37410288,-71.03276432,963.8478261
215,The Eddy - New St at Sumner St,42.370744,-71.044201,298.1621622
217,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,1968.542857
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,1406.847368
219,Boston East - 126 Border St,42.37331213,-71.04102008,213.1891892
221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,723.5137363
222,Troy Boston,42.343749,-71.062256,522.8979592
224,Fresh Pond Reservation,42.38267828,-71.14347895,32075.86364
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,761.1005111
226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,902.4639423
227,Silber Way,42.349496,-71.10057592,915.9371069
228,One Memorial Drive,42.36161932,-71.08043551,804.7378917
232,Four Corners - 157 Washington St,42.30412793,-71.07929528,1523.55
233,St Mary's,42.34619708,-71.10728681,915.4491315
234,Broadway at Central St,42.3951715,-71.09850592,872.2410714
235,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,791.1904762
236,Assembly Square T,42.39223284,-71.07746601,1033.816327
239,Community Path at Cedar Street,42.39407224,-71.11133695,662.139881
258,Gallivan Blvd at Adams St,42.28297568,-71.05466698,1470.272727
271,Ashmont T Stop,42.2856944,-71.0641389,758.3541667
272,Shawmut T Stop,42.292917,-71.06575,8995.230769
273,Forest Hills,42.300923,-71.114249,3337.508108
279,Williams St at Washington St,42.306539,-71.107669,908.5321637
280,Main St at Baldwin St,42.380857,-71.070629,719.6315789
282,Stony Brook T Stop,42.316966,-71.104374,1003.679443
296,Farragut Rd at E. 6th St,42.3334,-71.02495,1164.511628
318,Ames St at Broadway,42.3636929,-71.0875672,685.3029613
319,84 Cambridgepark Dr,42.3936,-71.143941,1271.881356
327,Main St at Thompson Sq,42.37487847,-71.06383499,804.472973
328,Grove St at Community Path,42.39638681,-71.12011306,728.7983539
330,30 Dane St,42.38100143,-71.10402523,875.8829114
331,Huntington Ave at Mass Art,42.33658555,-71.09886996,1228.679144
332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,906.9537445
333,699 Mt Auburn St,42.37500235,-71.14871614,2003.858369
334,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,864.7790262
